sNum,months,days,sex,cond,condLabel,trial,GNG,trialType,stimName,habCrit,sumOnA,numOnA,sumOffA,numOffA,sumOnB,numOnB,sumOffB,numOffB
9,221,17,1,"{'Same': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'Switch': ['RetA', 'RetB', 'RetC', 'RetD', 'RetE', 'RetF', 'RetG', 'RetH'], 'Hab': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP10,1,1,AttenGet,AttenGet.mov,0,10.796805699999823,2,1.217035499998019,2,0,0,12.013843400000042,1
9,221,17,1,"{'Same': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'Switch': ['RetA', 'RetB', 'RetC', 'RetD', 'RetE', 'RetF', 'RetG', 'RetH'], 'Hab': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP10,2,1,Hab,DenA,0,0,0,1.0115531999999803,1,0,0,1.0115531999999803,1
9,221,17,1,"{'Same': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'Switch': ['RetA', 'RetB', 'RetC', 'RetD', 'RetE', 'RetF', 'RetG', 'RetH'], 'Hab': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP10,3,1,Hab,DenB,0,0,0,1.011507100000017,1,0,0,1.011507100000017,1
9,221,17,1,"{'Same': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'Switch': ['RetA', 'RetB', 'RetC', 'RetD', 'RetE', 'RetF', 'RetG', 'RetH'], 'Hab': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP10,4,1,Hab,DenC,0,0.49996900000041933,3,0.5117772000012337,3,0,0,1.011744200000976,1
9,221,17,1,"{'Same': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'Switch': ['RetA', 'RetB', 'RetC', 'RetD', 'RetE', 'RetF', 'RetG', 'RetH'], 'Hab': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP10,5,1,Hab,DenD,0.30118614457856585,1.0116591000005428,1,0,0,0,0,1.0116591000005428,1
9,221,17,1,"{'Same': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'Switch': ['RetA', 'RetB', 'RetC', 'RetD', 'RetE', 'RetF', 'RetG', 'RetH'], 'Hab': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP10,6,1,Hab,DenE,0.9106193373499772,0.9614775999998528,4,0.0498676000006526,3,0,0,1.0113703000006353,1
9,221,17,1,"{'Same': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'Switch': ['RetA', 'RetB', 'RetC', 'RetD', 'RetE', 'RetF', 'RetG', 'RetH'], 'Hab': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP10,7,1,Hab,DenF,1.4898227108438644,1.0115846000007878,1,0,0,0,0,1.0115846000007878,1
9,221,17,1,"{'Same': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'Switch': ['RetA', 'RetB', 'RetC', 'RetD', 'RetE', 'RetF', 'RetG', 'RetH'], 'Hab': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP10,8,1,Hab,DenG,1.7980248795187852,0.9280785000028118,6,0.083538499999122,5,0,0,1.011617500000284,1
9,221,17,1,"{'Same': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'Switch': ['RetA', 'RetB', 'RetC', 'RetD', 'RetE', 'RetF', 'RetG', 'RetH'], 'Hab': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP10,9,1,Hab,DenH,1.7980248795187852,1.0110557999996672,1,0,0,0,0,1.0110557999996672,1
9,221,17,1,"{'Same': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'Switch': ['RetA', 'RetB', 'RetC', 'RetD', 'RetE', 'RetF', 'RetG', 'RetH'], 'Hab': ['DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH', 'DenA', 'DenB', 'DenC', 'DenD', 'DenE', 'DenF', 'DenG', 'DenH'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP10,10,1,Hab,DenA,1.7980248795187852,0.9443176999993739,4,0.06730359999892244,3,0,0,1.0116215999987617,1
