sNum,months,days,sex,cond,condLabel,trial,GNG,trialType,stimName,habCrit,sumOnA,numOnA,sumOffA,numOffA,sumOnB,numOnB,sumOffB,numOffB
6,221,17,2,"{'Same': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'Switch': ['RetH', 'RetG', 'RetF', 'RetE', 'RetD', 'RetC', 'RetB', 'RetA'], 'Hab': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP09,1,1,AttenGet,AttenGet.mov,0,7.6635595000007015,24,4.35041519999686,23,0,0,12.013975700001538,1
6,221,17,2,"{'Same': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'Switch': ['RetH', 'RetG', 'RetF', 'RetE', 'RetD', 'RetC', 'RetB', 'RetA'], 'Hab': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP09,2,1,Hab,DenH,0,0.561604399999851,1,0.44994360000055167,1,0,0,1.0115502000007837,1
6,221,17,2,"{'Same': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'Switch': ['RetH', 'RetG', 'RetF', 'RetE', 'RetD', 'RetC', 'RetB', 'RetA'], 'Hab': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP09,3,1,Hab,DenG,0,0.7164197000001877,3,0.2951861999990797,3,0,0,1.0115905000002385,1
6,221,17,2,"{'Same': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'Switch': ['RetH', 'RetG', 'RetF', 'RetE', 'RetD', 'RetC', 'RetB', 'RetA'], 'Hab': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP09,4,1,Hab,DenF,0,1.0107876000001852,1,0,0,0,0,1.0107876000001852,1
6,221,17,2,"{'Same': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'Switch': ['RetH', 'RetG', 'RetF', 'RetE', 'RetD', 'RetC', 'RetB', 'RetA'], 'Hab': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP09,5,1,Hab,DenE,1.3788022289157975,1.0116385999990598,1,0,0,0,0,1.0116385999990598,1
6,221,17,2,"{'Same': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'Switch': ['RetH', 'RetG', 'RetF', 'RetE', 'RetD', 'RetC', 'RetB', 'RetA'], 'Hab': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP09,6,1,Hab,DenD,1.6499071686743572,1.0117227000009734,1,0,0,0,0,1.0117227000009734,1
6,221,17,2,"{'Same': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'Switch': ['RetH', 'RetG', 'RetF', 'RetE', 'RetD', 'RetC', 'RetB', 'RetA'], 'Hab': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP09,7,1,Hab,DenC,1.8278005421688064,1.011552500000107,1,0,0,0,0,1.011552500000107,1
6,221,17,2,"{'Same': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'Switch': ['RetH', 'RetG', 'RetF', 'RetE', 'RetD', 'RetC', 'RetB', 'RetA'], 'Hab': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP09,8,1,Hab,DenB,1.8282613253012894,0.4564704000003985,3,0.5499457999994775,3,0,0,1.0064187000007223,1
6,221,17,2,"{'Same': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'Switch': ['RetH', 'RetG', 'RetF', 'RetE', 'RetD', 'RetC', 'RetB', 'RetA'], 'Hab': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP09,9,1,Hab,DenA,1.8282613253012894,0.5505628999981127,2,0.4611856999981683,2,0,0,1.0117465000002994,1
6,221,17,2,"{'Same': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'Switch': ['RetH', 'RetG', 'RetF', 'RetE', 'RetD', 'RetC', 'RetB', 'RetA'], 'Hab': ['DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA', 'DenH', 'DenG', 'DenF', 'DenE', 'DenD', 'DenC', 'DenB', 'DenA'], 'ISI': ['yellowlightshort.mov'], 'AttenGet': ['AttenGet.mov']}",LEAP09,10,1,Hab,DenH,1.8282613253012894,0.427208499999324,3,0.5832279000005656,3,0,0,1.0104400999989593,1
