allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
ʈʰ,,,,,276,{},,,ʈʰ Burushaski (SPA 6),276,276
ʈʰ,,,,,345,{},,,ʈʰ Kurukh (SPA 7),345,345
ʈʰ,,,,,415,{},,,ʈʰ Telugu (SPA 8),415,415
ʈ ʈʲʰ ʈʰ,,,,,452,{},,,ʈʰ Kota (SPA 9),452,452
ʈʰ,,,,,484,{},,,ʈʰ Mundari (SPA 10),484,484
ʈʰ,,,,,530,{},,,ʈʰ Kharia (SPA 11),530,530
ʈʰ,,,,,1247,{},,,ʈʰ Cham (SPA 29),1247,1247
ʈⁿ ʈ̚ ʈ ʈʰ ʈˡ,,,,,6020,{},,,ʈʰ Norwegian (SPA 159),6020,6020
ʈʷˠʰ ʈʰ ʈʲʰ,,,,,6593,{},,,ʈʰ Kashimiri (SPA 174),6593,6593
ʈʰ,,,,,6664,{},,,ʈʰ Punjabi (SPA 175),6664,6664
ʈʰ,,,,,6753,{},,,ʈʰ Hindi-Urdu (SPA 176),6753,6753
ʈʰ,,,,,6815,{},,,ʈʰ Bengali (SPA 177),6815,6815
,,,,,9177,{},False,,ʈʰ BENGALI (UPSID 250),9177,9177
,,,,,9611,{},False,,ʈʰ BURUSHASKI (UPSID 264),9611,9611
,,,,,12362,{},False,,ʈʰ HINDI-URDU (UPSID 354),12362,12362
,,,,,13522,{},False,,ʈʰ KASHMIRI (UPSID 389),13522,13522
,,,,,13844,{},False,,ʈʰ KOTA (UPSID 400),13844,13844
,,,,,14087,{},False,,ʈʰ KHARIA (UPSID 408),14087,14087
,,,,,16732,{},False,,ʈʰ NEPALI (UPSID 488),16732,16732
,,,,,17069,{},True,,ʈʰ NORWEGIAN (UPSID 499),17069,17069
,,,,,19297,{},True,,ʈʰ TELUGU (UPSID 568),19297,19297
,,,,,20264,{},False,,ʈʰ MUNDARI (UPSID 602),20264,20264
ʈʰ,,,,,30226,{},False,,ʈʰ Dhangar (PH 868),30226,30226
ʈʰ,,,,,31516,{},False,,ʈʰ Kharia (PH 909),31516,31516
ʈʰ,,,,,32020,{},False,,ʈʰ Ladakhi (PH 922),32020,32020
ʈʰ,,,,,32521,{},False,,ʈʰ Manange (PH 935),32521,32521
ʈʰ,,,,,34358,{},False,,ʈʰ Marwari (PH 991),34358,34358
ʈʰ,,,,,35045,{},False,,ʈʰ Saraiki (PH 1011),35045,35045
ʈʰ,,,,,36924,{},False,,ʈʰ Tibetan (PH 1067),36924,36924
ʈʰ,,,,,37455,{},False,,ʈʰ Chimariko (PH 1082),37455,37455
ʈʰ,,,,,37605,{},False,,ʈʰ Lake Miwok; Miwok (Lake) (PH 1087),37605,37605
ʈʰ ʈ̚,,,,,38097,{},False,,ʈʰ Remo (PH 1101),38097,38097
ʈʰ,,,,,38508,{},False,,ʈʰ Gojri; Gujari; Gujar (PH 1112),38508,38508
ʈʰ,,,,,39762,{},False,,ʈʰ Sindhi (PH 1148),39762,39762
ʈʰ,,,,,42101,{},False,,ʈʰ Torwali (PH 1219),42101,42101
ʈʰ,,,,,42143,{},True,,ʈʰ Thulung; Thulung Rai (PH 1220),42143,42143
ʈʰ,,,,,42181,{},False,,ʈʰ Tshangla (PH 1221),42181,42181
ʈʰ,,,,,42374,{},False,,ʈʰ Kinnauri; Kanauri (PH 1226),42374,42374
ʈʰ,,,,,42425,{},False,,ʈʰ Mewati (PH 1227),42425,42425
ʈʰ,,,,,61895,{},False,,ʈʰ Madurese (GM 1691),61895,61895
,,,,,62208,{},,,ʈʰ Andamanese (RA 1702),62208,62208
,,,,,62417,{},,,ʈʰ Awadhi (RA 1707),62417,62417
,,,,,62588,{},,,ʈʰ Bengali (RA 1711),62588,62588
,,,,,62648,{},,,ʈʰ Bhili (RA 1712),62648,62648
,,,,,62699,{},,,ʈʰ Bhumij (RA 1713),62699,62699
,,,,,62846,{},,,ʈʰ Bundeli (RA 1716),62846,62846
,,,,,62889,{},,,ʈʰ Chandangs and Byangs (RA 1717),62889,62889
,,,,,62971,{},,,ʈʰ Darmiya (RA 1719),62971,62971
,,,,,63057,{},,,ʈʰ Gade-Lohar (RA 1721),63057,63057
,,,,,63162,{},,,ʈʰ Gojri (RA 1724),63162,63162
,,,,,63222,{},,,ʈʰ Gujarati (RA 1725),63222,63222
,,,,,63363,{},,,ʈʰ Hindi (RA 1728),63363,63363
,,,,,63511,{},,,ʈʰ Jaunsari (RA 1731),63511,63511
,,,,,63589,{},,,ʈʰ Kangri (RA 1733),63589,63589
,,,,,63635,{},,,ʈʰ Kannada (RA 1734),63635,63635
,,,,,63677,{},,,ʈʰ Kanigke:rgotti (RA 1735),63677,63677
,,,,,63804,{},,,ʈʰ Kashmiri (RA 1738),63804,63804
,,,,,63881,{},,,ʈʰ Kharia (RA 1740),63881,63881
,,,,,64182,{},,,ʈʰ Konkani (RA 1747),64182,64182
,,,,,64405,{},,,ʈʰ Kumauni (RA 1753),64405,64405
,,,,,64456,{},,,ʈʰ Kurux (RA 1754),64456,64456
,,,,,64551,{},,,ʈʰ Ladakhi (RA 1756),64551,64551
,,,,,64770,{},,,ʈʰ Maithili (RA 1761),64770,64770
,,,,,64968,{},,,ʈʰ Marathi (RA 1766),64968,64968
,,,,,65190,{},,,ʈʰ Naiki (RA 1771),65190,65190
,,,,,65240,{},,,ʈʰ Nepali (RA 1772),65240,65240
,,,,,65352,{},,,ʈʰ Oriya (RA 1775),65352,65352
,,,,,65458,{},,,ʈʰ Pat̩t̩an̩i (RA 1778),65458,65458
,,,,,65540,{},,,ʈʰ Punjabi (RA 1780),65540,65540
,,,,,65581,{},,,ʈʰ Remo (RA 1781),65581,65581
,,,,,65629,{},,,ʈʰ Sanskrit (RA 1782),65629,65629
,,,,,65674,{},,,ʈʰ Santali (RA 1783),65674,65674
,,,,,65767,{},,,ʈʰ Shina (RA 1785),65767,65767
,,,,,65829,{},,,ʈʰ Sindhi (RA 1786),65829,65829
,,,,,66026,{},,,ʈʰ Telugu (RA 1791),66026,66026
,,,,,66279,{},,,ʈʰ Urdu (RA 1797),66279,66279
,,,,,67707,{},,,ʈʰ Jaqaru (SAPHON 1852),67707,67707
ʈʰ ʈ̚ʰ,,,,,77048,{},False,,ʈʰ Hindi (UZ 2190),77048,77048
ʈʰ,,,,,77725,{},False,,ʈʰ Nepali (UZ 2204),77725,77725
,,,,,80296,{},False,,ʈʰ gLo Tibetan (EA 2263),80296,80296
,,,,,80338,{},False,,ʈʰ Tod Tibetan (EA 2264),80338,80338
,,,,,80846,{},False,,ʈʰ Kannada (Standard) (EA 2277),80846,80846
,,,,,80960,{},False,,ʈʰ Tshangla (EA 2280),80960,80960
