allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
,,,,,65612,{},,,ɭ Sanskrit (RA 1782),65612,65612
,,,,,65889,{},,,ɭ Tamil (RA 1788),65889,65889
,,,,,66007,{},,,ɭ Telugu (RA 1791),66007,66007
,,,,,66084,{},,,ɭ Toda (RA 1793),66084,66084
,,,,,66169,{},,,ɭ Tulu (RA 1795),66169,66169
,,,,,66211,{},,,ɭ Urali (RA 1796),66211,66211
,,,,,66306,{},,,ɭ Vaagri Boli (RA 1798),66306,66306
,,,,,66344,{},,,ɭ Yerava (RA 1799),66344,66344
,,,,,66384,{},,,ɭ Yerukala (RA 1800),66384,66384
,,,,,67314,{},,,ɭ Wayúu (SAPHON 1836),67314,67314
,,,,,68086,{},,,ɭ Carib (SAPHON 1867),68086,68086
,,,,,69202,{},,,ɭ Macaguán (SAPHON 1913),69202,69202
ɭ ʲɭ ɭʷ,,,,,75570,{},False,,"ɭ Arrernte, Central (UZ 2158)",75570,75570
,,,,,79988,{},False,,ɭ Juang (EA 2258),79988,79988
,,,,,80528,{},False,,ɭ Ishkashimi (EA 2270),80528,80528
,,,,,80831,{},False,,ɭ Kannada (Standard) (EA 2277),80831,80831
,,,,,82378,{},False,,ɭ Dhivehi (Malé) (EA 2315),82378,82378
,,,,,84112,{},False,,ɭ Betta Kurumba (EA 2354),84112,84112
,,,,,85338,{},False,,ɭ Telugu (Standard) (EA 2387),85338,85338
,,,,,86083,{},False,,ɭ Varli (Dogri) (EA 2404),86083,86083
,,,,,87273,{},False,,ɭ Eastern Khanty (Vakh) (EA 2434),87273,87273
,,,,,87576,{},False,,ɭ Norwegian (Standard Østnorsk) (EA 2441),87576,87576
,,,,,89244,{},False,,ɭ Panjabi (Eastern) (EA 2479),89243,89243
,,,,,90038,{},False,,ɭ Oriya (EA 2495),90037,90037
,,,,,92991,{},False,,ɭ Malayalam (EA 2559),92990,92990
,,,,,95360,{},False,,ɭ Tamil (EA 2611),95359,95359
,,,,,96052,{},False,,ɭ Burarra (ER 2629),96051,96051
,,,,,96078,{},False,,ɭ Bunuba (ER 2630),96077,96077
,,,,,96101,{},False,,ɭ Gooniyandi (ER 2631),96100,96100
,,,,,96124,{},False,,ɭ Matngele (ER 2632),96123,96123
,,,,,96166,{},False,,ɭ Murrinh-patha (ER 2634),96165,96165
,,,,,96216,{},False,,ɭ Patjtjamalh (ER 2636),96215,96215
,,,,,96238,{},False,,ɭ Marramaninyshi (ER 2637),96237,96237
,,,,,96261,{},False,,ɭ Marringarr (ER 2638),96260,96260
,,,,,96316,{},False,,ɭ Marti Ke (ER 2640),96315,96315
,,,,,96378,{},False,,ɭ Larrakia (ER 2642),96377,96377
,,,,,96401,{},False,,ɭ Limilngan (ER 2643),96400,96400
,,,,,96428,{},False,,ɭ Umbugarla (ER 2644),96427,96427
,,,,,96505,{},False,,ɭ Erre (ER 2648),96504,96504
,,,,,96528,{},False,,ɭ Mengerrdji (ER 2649),96527,96527
,,,,,96551,{},False,,ɭ Urningangg (ER 2650),96550,96550
