allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
ʐ,,,,,737,{},,,ʐ Mandarin Chinese (SPA 16),737,737
ʐˀ ʐ,,,,,3900,{},,,ʐ Wapishana (SPA 108),3900,3900
ʐ ʂ,,,,,4020,{},,,ʐ Amuesha (SPA 112),4020,4020
ʐ,,,,,6539,{},,,ʐ Pashto (SPA 173),6539,6539
,,,,,8104,{},False,,ʐ AMUESHA (UPSID 217),8104,8104
,,,,,10067,{},False,,ʐ HIGHLAND CHINANTEC (UPSID 279),10067,10067
,,,,,10251,{},False,,ʐ MANDARIN (UPSID 286),10251,10251
,,,,,10459,{},False,,ʐ HMONG (UPSID 291),10459,10459
,,,,,11092,{},True,,ʐ DAGUR (UPSID 312),11092,11092
,,,,,16639,{},False,,ʐ NAXI (UPSID 485),16639,16639
,,,,,17771,{},False,,ʐ PASHTO (UPSID 521),17771,17771
,,,,,17799,{},False,,ʐ PAIWAN (UPSID 522),17799,17799
,,,,,19966,{},False,,ʐ TSOU (UPSID 593),19966,19966
ʐ,,,,,30737,{},False,,ʐ Huichol (PH 886),30737,30737
ʐ,,,,,31231,{},False,,ʐ Kada (PH 901),31231,31231
ʐ ʐd̪,,,,,35438,{},False,,ʐ Zapotec (PH 1022),35438,35438
ʐ ʐʰ,,,,,35888,{},False,,ʐ Palula (Phalura) (PH 1036),35888,35888
ʐ,,,,,36696,{},False,,ʐ San Bartolomé Zoogocho Zapotec (PH 1059),36696,36696
ʐ,,,,,37335,{},False,,"ʐ Tlacolula Valley Zapotec; Western Tlacolula Zapotec; Zapotec, San Juan Guelavía (PH 1078)",37335,37335
ʐ,,,,,38339,{},False,,ʐ Sochiapan Chinantec (PH 1108),38339,38339
ʐ,,,,,40061,{},False,,ʐ Chimborazo Quichua (PH 1157),40061,40061
ʐ,,,,,42110,{},False,,ʐ Torwali (PH 1219),42110,42110
ʐ,,,,,42380,{},False,,ʐ Kinnauri; Kanauri (PH 1226),42380,42380
ʐ,,,,,53323,{},False,,ʐ Gimira (GM 1477),53323,53323
ʐ,,,,,53365,{},False,,ʐ Bench (GM 1478),53365,53365
ʐ,,,,,56186,{},False,,ʐ Ronga (GM 1546),56186,56186
,,,,,62795,{},,,ʐ Brokskat (RA 1715),62795,62795
,,,,,64556,{},,,ʐ Ladakhi (RA 1756),64556,64556
,,,,,65775,{},,,ʐ Shina (RA 1785),65775,65775
,,,,,66116,{},,,ʐ Toda (RA 1793),66116,66116
,,,,,66451,{},,,ʐ Mapudungun (SAPHON 1802),66451,66451
,,,,,66724,{},,,ʐ Baniwa (SAPHON 1812),66724,66724
,,,,,67254,{},,,ʐ Wapichana (SAPHON 1833),67254,67254
,,,,,67383,{},,,ʐ Yánesha (SAPHON 1838),67383,67383
,,,,,70088,{},,,ʐ Yahgan (SAPHON 1944),70088,70088
,,,,,70112,{},,,ʐ Yurakaré (SAPHON 1945),70112,70112
,,,,,71661,{},,,ʐ Chácobo (SAPHON 2002),71661,71661
,,,,,71950,{},,,ʐ Yaminawa (SAPHON 2016),71950,71950
,,,,,72078,{},,,ʐ Cajamarca Quechua (SAPHON 2022),72078,72078
,,,,,73320,{},,,ʐ Awetí (SAPHON 2076),73320,73320
ʐ,,,,,78827,{},False,,ʐ Xumi (UZ 2231),78827,78827
,,,,,79256,{},False,,ʐ Udmurt (Standard) (EA 2240),79256,79256
