allophones,confidence,description,domainelement_pk,frequency,id,jsondata,marginal,markup_description,name,pk,valueset_pk
ʈ,,,,,275,{},,,ʈ Burushaski (SPA 6),275,275
ʈ,,,,,343,{},,,ʈ Kurukh (SPA 7),343,343
ʈ,,,,,413,{},,,ʈ Telugu (SPA 8),413,413
ʈ̚ˀ ʈ,,,,,483,{},,,ʈ Mundari (SPA 10),483,483
ʈ,,,,,529,{},,,ʈ Kharia (SPA 11),529,529
ʈ,,,,,1246,{},,,ʈ Cham (SPA 29),1246,1246
ʈ,,,,,1572,{},,,ʈ Iai (SPA 39),1572,1572
ɖ ʈ,,,,,1691,{},,,ʈ Western Desert (SPA 44),1691,1691
ʈ̚ ɖ ʈ,,,,,1716,{},,,ʈ Nyangumata (SPA 45),1716,1716
ɖ ʈ,,,,,1794,{},,,ʈ Maung (SPA 48),1794,1794
ʈ,,,,,1819,{},,,ʈ Nunggubuyu (SPA 49),1819,1819
ʈ ɖ ʈ,,,,,1846,{},,,ʈ Alawa (SPA 50),1846,1846
ʈ,,,,,6535,{},,,ʈ Pashto (SPA 173),6535,6535
ʈʷˠ ʈʲ ʈ,,,,,6592,{},,,ʈ Kashimiri (SPA 174),6592,6592
ʈ,,,,,6662,{},,,ʈ Punjabi (SPA 175),6662,6662
ʈ,,,,,6751,{},,,ʈ Hindi-Urdu (SPA 176),6751,6751
ʈ,,,,,6814,{},,,ʈ Bengali (SPA 177),6814,6814
ʈ̚ ʈ,,,,,6867,{},,,ʈ Sinhalese (SPA 178),6867,6867
,,,,,7677,{},False,,ʈ ARRERNTE (UPSID 201),7677,7677
,,,,,8021,{},False,,ʈ ALAWA (UPSID 214),8021,8021
,,,,,8362,{},False,,ʈ WESTERN DESERT (UPSID 225),8362,8362
,,,,,9021,{},False,,ʈ BARDI (UPSID 245),9021,9021
,,,,,9133,{},False,,ʈ BEJA (UPSID 249),9133,9133
,,,,,9176,{},False,,ʈ BENGALI (UPSID 250),9176,9176
,,,,,9610,{},False,,ʈ BURUSHASKI (UPSID 264),9610,9610
,,,,,9679,{},False,,ʈ BURARRA (UPSID 266),9679,9679
,,,,,10883,{},False,,ʈ DIYARI (UPSID 305),10883,10883
,,,,,11057,{},False,,ʈ RUKAI (UPSID 311),11057,11057
,,,,,11140,{},False,,ʈ YOLNGU (UPSID 314),11140,11140
,,,,,11800,{},False,,ʈ GARAWA (UPSID 337),11800,11800
,,,,,12361,{},False,,ʈ HINDI-URDU (UPSID 354),12361,12361
,,,,,12694,{},False,,ʈ IAI (UPSID 363),12694,12694
,,,,,13232,{},False,,ʈ YANYUWA (UPSID 379),13232,13232
,,,,,13521,{},False,,ʈ KASHMIRI (UPSID 389),13521,13521
,,,,,13868,{},False,,ʈ KOYA (UPSID 401),13868,13868
,,,,,14086,{},False,,ʈ KHARIA (UPSID 408),14086,14086
,,,,,14560,{},False,,ʈ KONKANI (UPSID 422),14560,14560
,,,,,14773,{},False,,ʈ KURUKH (UPSID 429),14773,14773
,,,,,14835,{},False,,ʈ KALKATUNGU (UPSID 431),14835,14835
,,,,,15819,{},False,,ʈ MABA (UPSID 456),15819,15819
,,,,,16071,{},False,,ʈ MORO (UPSID 465),16071,16071
,,,,,16113,{},False,,ʈ MAUNG (UPSID 467),16113,16113
,,,,,16283,{},False,,ʈ MURINHPATHA (UPSID 474),16283,16283
,,,,,16731,{},False,,ʈ NEPALI (UPSID 488),16731,16731
,,,,,17193,{},False,,ʈ NUNGGUBUYU (UPSID 503),17193,17193
,,,,,17767,{},False,,ʈ PASHTO (UPSID 521),17767,17767
,,,,,18568,{},False,,ʈ SINHALESE (UPSID 545),18568,18568
